 ;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000
1710;36302;37398;38415;39666;41075;44283;45379;46473;47726;48820;52498;53123;54219;56410;61182;63138;64938;66972;68928;70962;72449;73857;75344;76830;78317;79959;81524;87314;89974;92633;95450;98345;101240;104291;107498
1835;37007;38180;39275;40449;41936;45222;46317;47413;48586;49838;53514;54219;55314;57505;62434;64390;66267;68302;70336;72371;73935;75344;76908;78394;79959;81524;83245;89113;91851;94511;97407;100380;103353;106404;109612
1960;38102;39198;40371;42405;43031;42796;43031;49134;49838;51246;55158;55940;57113;61105;64312;65485;67441;69397;71588;73779;75187;76673;78238;79803;81367;83088;84654;90677;93416;96233;99128;102101;105151;108359;111568
2085;39980;41075;42327;43578;44283;42952;42718;49916;49369;55079;55079;58209;54297;63217;58288;68693;62356;68223;66267;73857;70571;75891;73074;80585;76047;82462;80115;94433;94668;97563;85906;104683;106638;109769;92086
2210;42013;43266;44517;45926;44283;42718;42874;48195;50620;56252;54532;60400;55940;65094;59461;69319;64781;72136;68458;75421;72840;79646;75109;82071;77847;86141;80664;95685;98345;101240;88253;107421;109455;112819;95138
2335;43031;44283;45535;46943;49994;43500;43734;53749;51246;57740;55627;63138;57270;66581;61652;72840;65329;74170;69944;79881;73779;81446;77143;87001;79803;90130;83167;101710;101318;104448;89113;112976;110707;113915;105230
2460;44439;45848;47178;48743;51558;52341;46161;57583;52341;59931;56878;67363;63920;75109;69944;77456;72058;81446;73935;84028;78864;89348;82150;94511;84419;99128;87939;107264;109299;111568;105230;119704;123382;127137;111255
2585;46240;47726;49055;50542;53123;54766;46082;59305;54532;64546;58914;70179;68145;77691;73153;81602;73935;84654;76595;88957;81289;93729;86375;97954;89504;104057;94980;111177;113289;116731;112428;128076;131675;135744;118139
2710;50072;51558;54140;55784;55158;56801;58131;65250;66032;68849;70962;74170;78473;80897;84028;85671;86610;91930;90286;92791;95606;98502;101397;102413;105465;108672;111959;117513;121112;124711;117592;128858;132770;136682;122756
2835;51402;52967;54454;56801;57426;59618;54766;67050;56644;71041;76517;83088;81602;84028;86766;87548;88409;92947;93103;95685;98580;101475;104526;105543;108750;112037;115323;121190;124790;128623;121190;132770;136682;140750;130266
2960;54766;56331;58053;59852;63138;64938;67206;72136;74405;74561;80194;85984;85124;87627;90286;93024;94980;98659;98893;101631;104683;107812;111020;112193;115557;119078;122678;128702;132613;136604;127216;139343;143488;147870;147557
3085;56096;57740;59461;61261;65564;67988;69866;72606;78238;83245;72058;88253;88018;90600;93338;96154;97172;102022;102179;105074;108281;111490;114775;116027;119548;123069;126746;133083;137230;141220;142706;156397;161014;165786;160388
