 ;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000
1710;41310;42561;43813;45300;46865;50464;51637;52967;54375;55705;59852;60556;61730;64312;69710;71979;74014;76361;78551;80976;82619;84185;85906;87627;89348;91226;92947;99598;102648;105543;108829;112116;115401;118843;122521
1835;42248;43578;44752;46082;47804;51481;52811;54063;55470;56801;61026;61730;63060;65564;71197;73388;75579;77925;80115;82541;84263;85906;87705;89426;91226;92947;94903;101631;104760;107812;110942;114384;117827;121269;125025
1960;43500;44674;46005;48352;49055;48820;49055;56019;56801;58366;62903;63764;65094;69631;73309;74639;76830;79177;81602;84106;85750;87392;89191;90991;92791;94746;96468;103353;106482;109690;113054;116418;119860;123538;127137
2085;45535;46865;48273;49681;50464;48978;48743;56957;56252;62826;62826;66346;61887;72136;66424;78238;71041;77847;75579;84185;80429;86532;83323;91851;86688;93964;91382;107733;107890;111255;97954;119313;121581;125181;104918
2210;47882;49290;50776;52419;50464;48743;48899;54923;57661;64155;62199;68928;63764;74248;67754;79099;73857;82228;78082;85984;83011;90835;85515;93573;88722;98189;91930;109064;112116;115401;100536;122443;124790;128623;108438
2335;49055;50464;51950;53514;57035;49603;49838;61261;58366;65876;63373;71979;65329;75891;70258;83011;74483;84576;79724;91147;84106;92868;87939;99206;90991;102804;94824;115949;115480;119078;101631;128780;126120;129954;119939
2460;50699;52263;53828;55627;58758;59696;52654;65720;59696;68302;64781;76752;72840;85515;79724;88331;82150;92868;84263;95841;89974;101866;93651;107812;96233;113054;100301;122286;124634;127137;119939;136526;140594;144896;126902
2585;52732;54375;55861;57583;60556;62434;52576;67676;62199;73623;67206;79959;77691;88488;83402;93024;84263;96468;87236;101475;92712;106873;98502;111725;102022;118609;108281;126746;129093;133083;128232;145992;150139;154755;134569
2710;57113;58758;61730;63608;62903;64703;66190;74405;75187;78473;80976;84576;89504;92165;95841;97642;98737;104839;102962;105777;108985;112272;115557;116731;120251;123929;127607;133943;138012;142158;134022;146931;151312;155772;139968
2835;58679;60400;62121;64703;65485;67911;62434;76438;64625;81055;87157;94746;93024;95841;98893;99832;100692;105934;106169;109064;112351;115636;119157;120330;124008;127684;131518;138090;142237;146540;138169;151312;155772;160466;148497
2960;62434;64234;66190;68223;71979;74014;76595;82228;84810;84967;91460;98033;97016;99910;102962;106091;108281;112428;112742;115792;119313;122834;126590;127841;131752;135744;139811;146696;151156;155694;145053;158902;163597;168524;168212
3085;63999;65876;67754;69788;74718;77534;79646;82776;89191;94903;82150;100536;100380;103353;106404;109612;110786;116340;116575;119783;123460;127137;130814;132301;136213;140359;144505;151782;156397;161014;162736;178304;183547;189024;182842
