 ;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000
1750;35881;36706;37379;38728;40152;43297;44346;45470;46742;46144;46818;49515;53636;57605;61650;64497;63374;66069;70189;71688;70339;74010;77756;78953;77381;81201;84647;86444;86444;88243;93785;99479;98505;100302;105171
1875;37004;37679;38428;40001;41200;43448;44421;46669;46818;48017;47792;50564;54608;58728;62848;65621;64422;67193;71388;72811;71538;75058;78804;80078;78355;82101;85771;87494;87494;89217;94759;100527;99479;101276;106146
2000;38054;38728;40825;41350;41949;40001;42698;44421;46818;51313;54309;55283;56106;59403;62549;66668;67343;70189;72363;74609;74010;78355;79853;82025;81726;85846;86669;89516;91313;93037;94535;98581;100454;105472;101951
2125;39702;40376;41200;41499;42473;40451;42848;44646;47118;49890;52436;55133;56106;55957;58728;65545;66594;67269;69366;73112;73935;74010;76407;81051;82549;83149;84497;86145;89741;96182;89441;94835;98581;110116;97157
2250;41050;41949;41949;41949;42773;41275;42848;44495;47417;49215;51912;54534;57380;55957;62699;64946;66668;65246;68018;69815;73036;71913;74759;78804;82025;80527;82699;84872;90865;98055;89666;93636;99928;112138;97457
2375;42025;42773;44945;45770;46294;44495;44121;46219;47043;51687;54234;57305;61575;58803;63447;67044;70490;66668;69440;72662;76332;73112;75508;80003;84722;77905;80902;86595;94610;109217;95734;101651;109666;121651;105247
2500;44945;45919;48241;48916;49589;52886;46368;49215;52886;52436;55208;59178;67418;75957;79553;79104;80826;82850;83898;85846;87943;89666;94759;97681;97306;102026;103973;106221;108243;112588;119555;121802;124050;128768;131015
2625;45919;46818;48615;49440;50264;54608;46894;49364;53560;53411;56257;62249;67643;76931;79853;81575;81876;86220;86595;87344;89141;91614;96182;98879;100004;104723;109067;108993;110940;117832;122850;124948;127195;134911;134461
2750;47417;48391;48766;49739;50189;54458;47717;50264;54234;55957;58578;62549;67643;77680;81726;81051;81800;87943;89441;90266;91313;94685;98805;99329;100527;106595;110040;111913;114535;121127;123524;127046;130716;138506;136933
2875;51987;52961;55807;56781;58129;59852;54309;56856;64796;61126;75058;76332;76931;81651;85846;86819;88916;91239;99479;98805;98805;101876;105697;107195;109666;111464;116184;120753;123075;128169;133262;137308;139555;143675;149218
3000;53411;54534;57155;58204;58429;62924;67343;68991;70189;75883;74160;76632;78880;86444;90939;92138;94385;100229;104573;103899;105171;108094;112513;112887;115359;118655;122551;127495;129668;137683;143301;147646;150192;154611;158807
