 ;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000
1750;42765;44121;45194;46789;48481;48629;49831;52304;55876;55749;56544;59830;64021;67125;72089;72670;73328;74284;78915;81048;80909;83367;87438;88734;88434;92206;95124;99588;101528;106618;106602;111798;113080;116530;119980
1875;44031;45298;48711;50696;52213;51928;52421;56042;59371;60937;60625;64180;69300;72660;78034;74917;75598;76186;80212;83553;83411;85946;88550;90030;89327;93136;96422;100594;102554;107811;107679;113001;114221;117707;121192
2000;45991;49128;51359;49973;50672;48282;49366;53657;56544;61104;63650;66797;63077;71593;70302;75412;75674;80416;81324;85349;83177;88086;89752;93124;91883;96515;97441;104762;103928;112391;106239;119062;121350;126848;114577
2125;50381;51218;49775;50150;51175;48879;49546;53956;56943;60228;63018;66308;64645;67594;68712;76101;74861;80860;79110;86285;84173;89397;86796;94842;92809;99544;94940;104028;107965;116175;101985;114581;119062;130374;109942
2250;52054;50672;50672;50672;51666;49875;50539;53756;57241;59431;62716;65901;66182;67594;67852;78444;75494;78843;80828;84318;85259;86907;89146;95169;92221;97259;96108;102535;109803;118464;102979;113090;120754;131640;117767
2375;53308;51666;54254;55250;55946;53756;52809;55848;56843;62417;65504;69186;73866;67693;76653;81033;83270;80535;83920;87802;91136;88300;91188;96663;97554;94073;97758;104627;114284;128928;115675;122843;132501;146919;127124
2500;56106;55152;56688;56552;57706;60123;53252;59431;63018;63314;66698;71478;74999;87984;89383;89585;90865;93913;94291;99715;98830;105065;106517;109759;109389;116641;116892;120767;123062;134895;134398;147134;149822;155596;147273
2625;58221;56544;58735;58093;59279;61701;56643;59631;64708;64509;67992;71581;81730;91615;93218;94052;95081;96886;98075;104013;104959;110413;111316;113614;115782;121815;122911;127650;128761;142355;138103;148909;153430;157949;151162
2750;60103;58436;58933;60128;60625;65803;57638;60725;65459;64375;67410;75559;81730;93875;96256;96111;97057;99891;101135;107257;108222;113746;114751;117087;119388;125585;126604;134446;135555;146337;140048;153430;157885;162651;153940
2875;65957;64010;67086;68589;70182;72274;65602;68690;74521;73866;90690;92183;92979;98654;100162;99975;102076;106029;111798;112746;113714;120850;121879;124464;126861;132103;133260;139804;140988;154798;149773;161025;165815;170879;170517
3000;67735;65901;68712;70282;70580;76055;79123;79355;84815;91685;83362;92581;95268;102603;103548;105560;106676;112632;117540;117781;118873;124973;126432;128718;131243;137952;139144;147639;156690;163194;164911;178392;181478;186756;185345
3125;69767;67878;71160;72390;72697;78337;83771;85822;87360;94436;92283;95358;98127;107560;113200;114636;117404;124685;130118;129298;130835;134527;139962;140474;143550;147651;152471;158623;161391;171337;178309;183744;186923;192359;197586
3250;71860;73410;76959;78290;78622;84721;90599;88397;89980;97269;95051;98219;101071;110787;116596;118075;120926;128426;134021;133177;134760;138563;144161;144689;147857;152081;157045;163382;166233;176477;183658;189257;192531;198130;203514
