 ;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000
1750;47042;48533;49713;51468;53329;53492;54814;57534;61464;61324;62198;65813;70423;73838;79298;79937;80661;81712;86807;89153;89000;91704;96182;97607;97277;101427;104636;109547;111681;117280;117262;122978;124388;128183;131978
1875;48434;49828;53582;55766;57434;57121;57663;61646;65308;67031;66688;70598;76230;79926;85837;82409;83158;83805;88233;91908;91752;94541;97405;99033;98260;102450;106064;110653;112809;118592;118447;124301;125643;129478;133311
2000;50590;54041;56495;54970;55739;53110;54303;59023;62198;67214;70015;73477;69385;78752;77332;82953;83241;88458;89456;93884;91495;96895;98727;102436;101071;106167;107185;115238;114321;123630;116863;130968;133485;139533;126035
2125;55419;56340;54753;55165;56293;53767;54501;59352;62637;66251;69320;72939;71110;74353;75583;83711;82347;88946;87021;94914;92590;98337;95476;104326;102090;109498;104434;114431;118762;127793;112184;126039;130968;143411;120936
2250;57259;55739;55739;55739;56833;54863;55593;59132;62965;65374;68988;72491;72800;74353;74637;86288;83043;86727;88911;92750;93785;95598;98061;104686;101443;106985;105719;112789;120783;130310;113277;124399;132829;144804;129544
2375;58639;56833;59679;60775;61541;59132;58090;61433;62527;68659;72054;76105;81253;74462;84318;89136;91597;88589;92312;96582;100250;97130;100307;106329;107309;103480;107534;115090;125712;141821;127243;135127;145751;161611;139836
2500;61717;60667;62357;62207;63477;66135;58577;65374;69320;69645;73368;78626;82499;96782;98321;98544;99952;103304;103720;109687;108713;115572;117169;120735;120328;128305;128581;132844;135368;148385;147838;161847;164804;171156;162000
2625;64043;62198;64609;63902;65207;67871;62307;65594;71179;70960;74791;78739;89903;100777;102540;103457;104589;106575;107883;114414;115455;121454;122448;124975;127360;133997;135202;140415;141637;156591;151913;163800;168773;173744;166278
2750;66113;64280;64826;66141;66688;72383;63402;66798;72005;70813;74151;83115;89903;103263;105882;105722;106763;109880;111249;117983;119044;125121;126226;128796;131327;138144;139264;147891;149111;160971;154053;168773;173674;178916;169334
2875;72553;70411;73795;75448;77200;79501;72162;75559;81973;81253;99759;101401;102277;108519;110178;109973;112284;116632;122978;124021;125085;132935;134067;136910;139547;145313;146586;153784;155087;170278;164750;177128;182397;187967;187569
3000;74509;72491;75583;77310;77638;83661;87035;87291;93297;100854;91698;101839;104795;112863;113903;116116;117344;123895;129294;129559;130760;137470;139075;141590;144367;151747;153058;162403;172359;179513;181402;196231;199626;205432;203880
3125;76744;74666;78276;79629;79967;86171;92148;94404;96096;103880;101511;104894;107940;118316;124520;126100;129144;137154;143130;142228;143919;147980;153958;154521;157905;162416;167718;174485;177530;188471;196140;202118;205615;211595;217345
3250;79046;80751;84655;86119;86484;93193;99659;97237;98978;106996;104556;108041;111178;121866;128256;129883;133019;141269;147423;146495;148236;152419;158577;159158;162643;167289;172750;179720;182856;194125;202024;208183;211784;217943;223865
