 ;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000
1710;41310;42561;43813;45300;46865;50464;51637;52967;54375;55705;59852;60556;61730;64312;69710;71979;74014;76361;78551;80976;82619;84185;85906;87627;89348;91226;92947;99598;102648;105543;108829;112116;115401;118843;122521
1835;42248;43578;44752;46082;47804;51481;52811;54063;55470;56801;61026;61730;63060;65564;71197;73388;75579;77925;80115;82541;84263;85906;87705;89426;91226;92947;94903;101631;104760;107812;110942;114384;117827;121269;125025
1960;43500;44674;48305,25;50769,6;51507,75;51261;51507,75;58819,95;59641,05;61284,3;66048,15;66952,2;68348,7;73112,55;76974,45;74 639;76 830;79 177;81 602;84 106;85 750;87 392;89 191;90 991;92 791;94 746;96 468;103 353;106 482;109 690;113 054;116 418;119 860;123 538;127 137
2085;45535;49208,25;50686,65;52165,05;52987,2;51426,9;51180,15;59804,85;59064,6;65967,3;65967,3;69663,3;64981,35;75742,8;69745,2;78 238;71 041;77 847;75 579;84 185;80 429;86 532;83 323;91 851;86 688;93 964;91 382;107 733;107 890;111 255;97 954;119 313;121 581;125 181;104 918
2210;50276,1;51754,5;53314,8;55039,95;52987,2;51180,15;51343,95;57669,15;60544,05;67362,75;65308,95;72374,4;66952,2;77960,4;71141,7;79 099;73 857;82 228;78 082;85 984;83 011;90 835;85 515;93 573;88 722;98 189;91 930;109 064;112 116;115 401;100 536;122 443;124 790;128 623;108 438
2335;51507,75;52987,2;54547,5;56189,7;59886,75;52083,15;52329,9;64324,05;61284,3;69169,8;66541,65;75577,95;68595,45;79685,55;70 258;83 011;74 483;84 576;79 724;91 147;84 106;92 868;87 939;99 206;90 991;102 804;94 824;115 949;115 480;119 078;101 631;128 780;126 120;129 954;119 939
2460;53233,95;54876,15;56519,4;58408,35;61695,9;62680,8;55286,7;69006;62680,8;71717,1;68020,05;80589,6;76482;85 515;79 724;88 331;82 150;92 868;84 263;95 841;89 974;101 866;93 651;107 812;96 233;113 054;100 301;122 286;124 634;127 137;119 939;136 526;140 594;144 896;126 902
2585;55368,6;57093,75;58654,05;60462,15;63583,8;65555,7;55204,8;71059,8;65308,95;77304,15;70566,3;83956,95;77 691;88 488;83 402;93 024;84 263;96 468;87 236;101 475;92 712;106 873;98 502;111 725;102 022;118 609;108 281;126 746;129 093;133 083;128 232;145 992;150 139;154 755;134 569
2710;59968,65;61695,9;64816,5;66788,4;66048,15;67938,15;69499,5;78125,25;78946,35;82396,65;85024,8;84 576;89 504;92 165;95 841;97 642;98 737;104 839;102 962;105 777;108 985;112 272;115 557;116 731;120 251;123 929;127 607;133 943;138 012;142 158;134 022;146 931;151 312;155 772;139 968
2835;61612,95;63420;65227,05;67938,15;68759,25;71306,55;65555,7;80259,9;67856,25;81 055;87 157;94 746;93 024;95 841;98 893;99 832;100 692;105 934;106 169;109 064;112 351;115 636;119 157;120 330;124 008;127 684;131 518;138 090;142 237;146 540;138 169;151 312;155 772;160 466;148 497
2960;65555,7;67445,7;69499,5;71634,15;75577,95;77714,7;80424,75;86339,4;84 810;84 967;91 460;98 033;97 016;99 910;102 962;106 091;108 281;112 428;112 742;115 792;119 313;122 834;126 590;127 841;131 752;135 744;139 811;146 696;151 156;155 694;145 053;158 902;163 597;168 524;168 212
3085;67198,95;69169,8;71141,7;73277,4;78453,9;81410,7;83628,3;82 776;89 191;94 903;82 150;100 536;100 380;103 353;106 404;109 612;110 786;116 340;116 575;119 783;123 460;127 137;130 814;132 301;136 213;140 359;144 505;151 782;156 397;161 014;162 736;178 304;183 547;189 024;182 842
