 ;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000
1750;37655;38521;39300;40685;42157;45447;46571;47784;49082;48477;49169;52026;56354;60508;64751;67781;66568;69424;73752;75311;73926;77736;81717;82929;81283;85267;88901;90806;90806;92711;98510;104484;103444;105349;110456
1875;38867;39560;42357;44083;45446;47900;48992;51447;51627;52990;52719;55807;60263;64808;69351;68906;67694;70550;74965;76523;75139;78861;82757;84140;82323;86218;90114;91931;91931;93749;99549;105609;104484;106387;111496
2000;39992;42720;44992;43456;44061;41984;44840;46659;49169;53930;57046;58085;58950;62414;65703;70030;70723;73752;76004;78341;77736;82323;83880;86132;85872;90201;91067;94009;95914;97732;99289;103532;105521;110803;107081
2125;43810;44538;43282;43628;44581;42503;45014;46918;49515;52371;55056;57912;58950;58776;61722;68819;69944;70637;72887;76783;77648;77736;80245;85180;86738;87343;88729;90459;94268;101021;93923;99635;103532;115651;102059
2250;45266;44061;44061;44061;44927;43370;45014;46745;49775;51678;54536;57305;60249;58776;62739;68213;70030;68560;71415;73320;76697;75571;78513;82757;86132;84573;86911;89161;95480;103012;94183;98338;105004;117815;102407
2375;46355;44927;47177;48044;48649;46745;46311;48564;49429;54275;56959;60162;64663;58863;66655;70463;74012;70030;72974;76350;80159;76783;79294;84056;88989;81803;85007;90979;99377;114698;100588;106821;115218;127770;110543
2500;49536;48217;50640;51419;52111;55575;48737;51678;55575;55056;57998;62154;67438;79813;83535;83102;84920;86998;88123;90201;92364;94183;99549;102578;102233;107167;109245;111582;113745;118247;125606;127942;130280;135301;137638
2625;50627;49169;51074;51938;52805;57393;49255;51852;56267;56095;59125;62244;71070;80851;83880;85699;86045;90547;90979;91759;93663;96260;101021;103877;105089;110024;114611;114525;116517;123788;129068;131232;133655;141707;141273
2750;52263;50814;51246;52286;52718;57219;50120;52805;56959;55977;58617;65703;71070;81631;85872;85180;85959;92364;93923;94788;95914;99463;103792;104311;105609;112014;115564;117554;120324;127250;129759;133484;137291;145515;143870
2875;57355;55661;58604;59642;61028;62846;57046;59729;64801;64231;78861;80159;80851;85786;90201;91238;93403;95828;104484;103792;103792;106994;111063;112621;115218;117122;122056;126817;129327;134609;139975;144217;146641;150968;156770
3000;58900;57305;60076;61115;61374;66135;70723;69004;73752;79727;77909;80505;82842;90806;95567;96780;99117;105264;109850;109158;110456;113573;118161;118594;121190;124653;128722;133916;136253;144649;150535;155124;157808;162397;166810
3125;60667;59024;61878;62948;63215;68119;72845;74628;75965;82118;80246;82920;85328;93531;98434;99683;102091;108422;113146;112433;113770;116980;121706;122152;124826;128392;132583;137933;140340;148988;155051;159778;162542;167269;171814
3250;62487;63834;66921;68078;68367;73670;78781;76867;78244;84582;82653;85408;87887;96337;101387;102674;105153;111675;116540;115806;117183;120489;125357;125816;128571;132244;136561;142071;144551;153458;159702;164571;167418;172287;176968
