 ;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000
1750;41464;42417;43196;44753;46400;50035;51246;52545;54015;53324;54104;57219;61981;66568;71243;74533;73234;76350;81111;82842;81283;85526;89854;91238;89421;93836;97817;99895;99895;101974;108378;114958;113832;115909;121536
1875;42762;43542;46593;48491;49991;52690;53891;56592;56790;58289;57991;61388;66289;71289;76286;75831;74445;77648;82497;84140;82670;86738;91067;92538;90547;94875;99117;101107;101107;103099;109504;116169;114958;117034;122662
2000;43976;46992;49491;47784;48477;46225;49342;51333;54104;59297;62759;63885;64836;68646;72282;77042;77821;81111;83622;86218;85526;90547;92279;94788;94443;99203;100155;103444;105521;107513;109245;113920;116084;121883;117815
2125;48191;48992;47611;47957;49082;46745;49515;51593;54449;57653;60595;63712;64836;64663;67865;75744;76955;77736;80159;84488;85440;85526;88296;93663;95394;96088;97646;99549;103704;111148;103358;109591;113920;127250;112274
2250;49793;48477;48477;48477;49429;47697;49515;51419;54796;56873;59990;63019;66308;64663;69013;75051;77042;75398;78601;80678;84400;83102;86392;91067;94788;93056;95567;98078;105004;113313;103618;108205;115476;129587;112621
2375;50991;49429;51938;52891;53498;51419;50986;53410;54364;59729;62673;66222;71156;64749;73320;77476;81458;77042;80245;83968;88209;84488;87258;92451;97906;90027;93490;100069;109331;126211;110631;117469;126730;140580;121623
2500;54490;53064;55747;56527;57305;61115;53583;56873;61115;60595;63797;68386;74182;87776;91931;91412;93403;95740;96953;99203;101626;103618;109504;112880;112447;117901;120152;122749;125086;130107;138158;140755;143352;148803;151401
2625;55690;54104;56180;57133;58085;63105;54190;57046;61894;61722;65012;68468;78169;88901;92279;94268;94616;99635;100069;100935;103012;105869;111148;114265;115564;121019;126039;125951;128202;136166;141965;144390;146986;155903;155383
2750;57489;55921;56354;57479;57998;62933;55142;58085;62673;61575;64479;72282;78169;89767;94443;93663;94528;101626;103358;104311;105521;109417;114179;114785;116169;123181;127162;129327;132357;139975;142745;146814;151055;160059;158240
2875;63091;61202;64491;65616;67174;69165;62759;65703;71281;70637;86738;88209;88901;94356;99203;100328;102752;105436;114958;114179;114179;117729;122144;123873;126730;128808;134261;139542;142225;148112;153998;158673;161270;166031;172436
3000;64790;63019;66048;67261;67521;72715;77821;75904;81111;87690;85699;88556;91154;99895;105089;106475;109071;115824;120844;120065;121536;124913;130019;130451;133309;137118;141620;147334;149844;159106;165598;170619;173561;178668;183517
3125;66734;64926;68066;69243;69537;74931;80130;82091;83562;90330;88271;91212;93861;102884;108277;109651;112300;119264;124461;123676;125147;128678;133877;134367;137309;141231;145841;151726;154374;163887;170556;175756;178796;183996;188995
3250;68736;70217;73613;74886;75204;81037;86659;84554;86068;93040;90918;93949;96676;105971;111526;112941;115668;122843;128194;127387;128901;132538;137893;138398;141428;145468;150217;156278;159006;168804;175672;181028;184160;189516;194665
