;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000;6125;6250;6375;6500;6625;6750;6875;7000;7125;7250;7375;7500;7625;7750;7875;8000
1875;67447;69708;72149;74681;79291;79743;84535;87068;87157;91497;93667;90774;92944;95205;99633;98821;101262;103251;107230;109671;111840;114100;118168;115456;117987;119435;124045;124135;125671;127661;131640;133719;135619;137698;141766;165093;172595;174856;179559;182451;184531;186973;191945;202251;207586;210027;210660;212829;215632;217621;218616
2000;69617;72239;75223;78207;82546;84535;88061;89960;90684;94751;94119;93848;96560;97464;102076;101262;105692;107951;110394;110845;113647;115999;118530;115456;119615;121965;125130;129650;134082;136432;138422;140411;142490;146919;149270;173590;184168;186792;189413;191945;197370;200082;202431;210027;210841;213191;215632;217893;220244;225577;228650
2125;70612;72690;74951;77030;81914;83993;87608;85800;89688;92401;97554;95475;100448;102617;105058;103341;107409;109942;112291;112383;115908;117897;121513;120067;124589;126668;128837;134443;139144;141403;143483;145564;147733;152163;154244;179738;190227;192939;195470;198183;203518;205959;208400;212829;215271;217350;219972;225577;227839;230279;233172
2250;71697;74047;76307;78658;83450;85892;86614;88874;94119;95023;99272;96922;101805;104334;106867;105058;109307;112112;114371;114462;117536;120067;122507;124589;129379;131731;133719;139686;144478;146558;149089;151169;153791;158040;160753;187334;198183;200806;203699;206591;212197;215091;217712;218344;219521;225398;227839;229827;232720;233987;236879
2375;73234;75223;77212;79291;87338;89508;90140;94572;96560;98641;100900;101805;108585;111477;113828;112383;117445;119795;122507;122690;126485;128837;131640;133719;132401;134989;139967;143749;147733;150718;156492;157387;159677;162651;165749;202703;212468;215632;218616;221600;227477;230822;233896;235524;236066;237783;240586;242847;245469;251977;262918
2500;73957;76489;79019;81643;89057;91949;95023;98278;103522;106235;104517;106958;112472;113558;115819;115999;121152;123865;126577;126757;130555;133085;135710;138422;138175;142256;144844;151514;153704;159677;162166;164855;167542;169234;175307;209665;216446;219521;222685;225486;231814;235162;238688;243932;246101;249084;251254;253877;256862;262555;266173
2625;77483;80286;83360;86614;91949;95023;96016;97826;100266;103160;106686;107137;112563;115276;117716;119615;125130;128024;130555;130736;134895;137517;140228;142852;140952;147034;149722;153006;157769;164257;167045;169631;168836;174111;180184;222957;236246;237963;238145;238688;244021;245560;246101;247729;250350;252883;255504;258488;264545;267168;289499
2750;79110;82184;85438;88513;94300;97374;98457;100266;103251;106324;109671;110483;116179;119072;121965;123321;129379;132092;134623;134895;139144;141856;144478;147281;145203;148627;152808;157225;163013;166447;169135;171823;173772;179287;182672;236246;237060;237963;239049;242575;246282;249537;252791;253787;254601;257130;266173;266173;287510;290403;301252
2875;81552;84626;87880;90955;99272;103160;99905;103251;109218;112201;116088;116903;122869;126033;129379;130917;132634;135438;138970;139369;143393;146196;149722;152808;156591;159279;163759;171225;173813;176600;183171;186257;187153;189044;197605;241399;243480;246915;250350;254059;255504;258668;262375;263551;265810;268162;270964;300438;302790;304869;307944
3000;83631;86705;89688;93124;102257;105963;105330;106867;112201;115636;119343;120067;126577;129742;132362;134533;136613;139958;142854;143251;147100;151116;153903;156789;159578;165749;168836;176600;178691;185659;188945;191532;194620;197107;204177;246101;252791;254871;258579;262015;272411;272592;276480;280729;283080;300710;303331;305954;309480;310745;314361
