;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000;6125;6250;6375;6500;6625;6750;6875;7000
1875;42399;43746;45245;46818;47417;49065;53035;54759;55732;57455;60601;62024;63672;65095;68091;69516;71388;72737;75583;77156;78729;80377;83299;84572;86370;87494;90865;90939;91988;93411;96407;97981;99329;100828;103824;109967;111614;112963;116109;117981;119330;120902;124199
2000;43672;45320;47268;49141;49890;50488;55357;56481;57305;58879;60901;63748;65171;66594;69815;71388;73036;74534;77830;78055;80003;81726;83524;84572;85996;89291;91614;94910;95360;96033;101501;102924;103374;103523;109292;114461;116708;117232;122326;124199;123974;124498;130941
2125;46069;47342;48916;49739;50339;53186;57155;57305;58280;60826;63073;64571;65770;68916;73261;74160;74833;77306;80677;80752;81575;83749;87269;87868;88542;91913;94460;97531;97906;100527;105098;106595;106146;109367;112963;116109;119330;122251;126371;128169;128919;130640;134686
2250;47268;48766;49364;50114;51088;54833;58728;58578;59028;61650;64272;66069;67118;70564;75283;75359;76257;78804;82924;82999;82699;86070;89741;89366;90115;94610;96033;98206;99629;103075;106895;107419;109292;111240;115359;118580;120604;125922;129143;130865;131765;133563;138057
2375;49739;51013;52361;53859;54759;58353;61126;64197;64871;65470;68392;71613;73561;76931;80003;81351;83598;85172;88843;88093;88992;92588;96407;97981;99629;101577;105323;108168;109442;113412;117757;118431;120154;120604;124723;132364;136109;138057;139855;141877;145623;147720;149742
2500;50114;51912;53560;55508;56705;60002;63822;65995;67568;68617;72138;74534;75658;80752;82325;85021;87044;88843;92737;92887;93712;97457;99404;101501;103973;107044;108993;114011;115659;120154;122027;124050;126072;127345;131915;139630;141278;146222;148469;150192;154388;156635;158956
2625;52586;54534;55658;56632;57755;62399;67269;68167;68541;71987;75658;77156;78055;82850;86220;87719;88168;91988;95584;95734;96857;98654;102775;104723;105396;110640;112663;115134;117981;123600;125698;127644;127046;131015;135585;139705;142476;151016;155511;155811;156260;160380;163901
2750;53636;55658;56856;57680;58728;63897;68467;69665;70040;74010;77606;78729;78729;84647;88393;89516;90115;92962;97681;97831;97906;100828;105771;105697;107570;111839;114985;116483;118281;125248;127270;129293;129892;132738;137458;141877;147047;153788;159181;158282;159106;162927;165024
2875;55357;57380;59477;61725;62848;67942;71987;74459;76482;79403;83448;83973;86520;90415;94685;95883;98206;100302;104573;104873;103973;108243;112663;114985;117832;119854;123225;128843;130791;132888;137832;140154;140828;142251;148694;154388;158956;164425;166748;169219;170193;172365;174762
3000;56781;58803;60901;63149;64646;70564;73786;77081;78430;81800;85771;87868;90266;94984;97007;98505;101127;103674;107494;107793;108917;113711;115809;117981;120079;124723;127046;132888;134461;139705;142178;144124;146447;148319;153638;158956;163301;169744;172215;174613;177984;178058;180530
3125;59328;61725;63374;63822;65021;72437;78130;78729;80152;84497;88691;90266;91239;97457;100004;101202;101726;106146;110640;110790;112138;116933;118956;121352;122101;128469;130567;133712;135509;143375;145623;147870;147272;151691;159106;161353;164500;175661;179556;181130;179482;185699;187796
3250;60451;62924;64646;65171;66819;73935;79853;80826;80902;85996;90415;91389;92887;99104;102326;102924;103374;108993;113862;112813;114236;119779;122326;122326;124199;130640;132888;136109;137832;147495;146822;148993;151466;153113;161654;165024;166748;180455;184800;183751;184051;187123;192515
3375;62324;64871;67568;70414;72138;78205;82025;84572;86370;90640;94984;97457;98730;103225;107793;109367;111989;114985;119555;119779;119105;123974;128843;131315;133637;137533;141353;147720;151166;153788;157908;160230;162927;164425;172066;180455;182029;187646;193789;202778;208995;209894;213790
3500;64272;66594;69066;71613;73036;80003;83822;86370;88691;92887;97007;100004;101651;106670;110566;112064;115134;117757;122626;122926;124574;129443;132364;134461;136859;142476;144873;151615;153713;159406;162028;168395;169519;169744;174912;179856;184650;192591;201730;213116;219183;223228;223978
3625;67793;70265;71313;72887;73935;82101;85996;87568;88916;94984;99554;101352;102700;109367;113037;114985;115435;120604;125622;125698;127644;132589;135509;138057;138956;145997;148619;152589;154836;164050;170342;170567;172740;174687;180755;185324;188996;200306;214614;219258;219857;226300;227348
3750;68617;71388;72437;72586;74160;84197;87793;88916;89966;97007;101876;103374;103824;111839;115809;116558;117083;123375;128618;128768;129293;136109;138806;138506;141728;148319;150566;154762;157010;166298;168170;173189;172814;178583;185100;187946;195362;204651;220532;222929;225775;230720;231618
